Title,Location,Company,Salary,Rating,Summary,Description
DIVERSIDADE RACIAL - Programa de estágio tech,"São Paulo, SP",Amzn Servicos de Varejo do Bra,None,"3,5","Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving, and complexity analysis.",None
MULHERES NA TECNOLOGIA - Programa de Estágio Tech,"São Paulo, SP",Amzn Servicos de Varejo do Bra,None,"3,5","Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving, and complexity analysis.",None
2966 - Desenvolvedor Full Stack,"São Paulo, SP",GLOBAL HITSS,None,"3,5","Criar recursos e aplicativos com design voltado a dispositivos móveis.Experiência comprovada como desenvolvedor full stack ou função similar;Conhecimento em linguagens back-end como: Java, .",None
Estágiario(a),"São Paulo, SP",Divulga Vagas,None,None,"SOBRE A EMPIRICUS: Publicamos ideias de investimento independentes com um único objetivo: fazer com que você tenha acesso a estratégias tão boas quanto às dos investidores profissionais. E, para…",None
Product Owner,"São Paulo, SP",Delivery Center,None,"3,8","Conhecimentos em processos e frameworks de design.Ser o responsável por maximizar o resultado de um produto, seja na produtividade com o time de criação e desenvolvimento, seja na relação com…",None
Design,"São Paulo, SP",Futura Estágios,R$ 800 por mês,"4,3","Atividade: Divulgação em redes sociais, administração de Blog, Faceook, Instagran, Linkedin e Sites. Desenvolvimento de artes, Layouts. Marketing digital e visual. Noções e Habilidades necessárias…",None
QA Engineer - Engenheiro de Qualidade de Software,"São Paulo, SP",InstaCarro,None,None,Experiência comprovada em garantia de qualidade de software.Experiência trabalhando em um processo de desenvolvimento Ágil / Scrum.Experiência de automação de teste de API REST intermediária.,None
Estagiário(a) de Engenharia Elétrica,"São Paulo, SP",Water Design,None,None,Cursando no mínimo 3º ano de Engenharia Elétrica.,None
Programador Moodle,"Barueri, SP",Agência vm2,None,"3,0","NET, padrão de desenvolvimento em camadas e design patterns MVC, desenvolvimento para Web usando ASP.NET.Atuará com desenvolvimento em ambiente Microsoft C#, Visual Basic, ASP.",None
Desenvolvedor(a) sênior Back-end Ruby on Rails (remoto),"São Paulo, SP",GeekHunter,R$ 13.000 - R$ 15.000 por ano,None,"Empower the engineering team to achieve a high level of technical productivity, reliability, and simplicity.Help in the process of recruiting great engineers.",None
2966 - Desenvolvedor Full Stack,"São Paulo, SP",GLOBAL HITSS,None,"3,5","Criar recursos e aplicativos com design voltado a dispositivos móveis.Experiência comprovada como desenvolvedor full stack ou função similar;Conhecimento em linguagens back-end como: Java, .",None
QA Engineer - Engenheiro de Qualidade de Software,"São Paulo, SP",InstaCarro,None,None,Experiência comprovada em garantia de qualidade de software.Experiência trabalhando em um processo de desenvolvimento Ágil / Scrum.Experiência de automação de teste de API REST intermediária.,None
"Estágio em Publicidade, Marketing, Design, Jornalismo - PREV...","São Paulo, SP",Instituto Via de Acesso,R$ 30 por dia,"3,4","Cursando Publicidade e Propaganda, Marketing, Design e Jornalismo com formação acadêmica prevista entre 12/2022 e 12/2023;Pacote office e adobe, Intermediários.Suporte ao departamento de Marketing;",None
Estágio em Suporte Técnico Grid Automation,"São Paulo, SP",GE Renewable Energy,None,"3,8",Excelentes habilidades de design e programação de software.Apoiar nossos clientes na solução de dúvidas técnicas relacionadas aos produtos GE Grid Automation.,None
